database,tableName,isTemporary
nzmigration,wm_yard_zone,False
nzmigration,wm_yard_zone_slot,False
nzmigration,wm_yard_zone_slot_temp,False
nzmigration,wm_yard_zone_temp,False
nzmigration,wms_to_scds_4hr_test_2_wm_e_consol_perf_smry_v1,False
nzmigration,wms_to_scds_4hr_test_2_wm_e_consol_perf_smry_v2,False
nzmigration,wms_to_scds_4hr_test_2_wm_e_dept_v1,False
nzmigration,wms_to_scds_4hr_test_2_wm_e_dept_v2,False
nzmigration,wms_to_scds_4hr_test_2_wm_ucl_user_v1,False
nzmigration,wms_to_scds_4hr_test_2_wm_ucl_user_v2,False
nzmigration,wms_to_scds_4hr_test_4_wm_e_consol_perf_smry_v1,False
nzmigration,wms_to_scds_4hr_test_4_wm_e_consol_perf_smry_v2,False
nzmigration,wms_to_scds_4hr_test_4_wm_e_dept_v1,False
nzmigration,wms_to_scds_4hr_test_4_wm_e_dept_v2,False
nzmigration,wms_to_scds_4hr_test_4_wm_ucl_user_v1,False
nzmigration,wms_to_scds_4hr_test_4_wm_ucl_user_v2,False
nzmigration,wms_to_scds_4hr_test_wm_e_consol_perf_smry_v1,False
nzmigration,wms_to_scds_4hr_test_wm_e_consol_perf_smry_v2,False
nzmigration,wms_to_scds_4hr_test_wm_e_dept_v1,False
nzmigration,wms_to_scds_4hr_test_wm_e_dept_v2,False
nzmigration,wms_to_scds_4hr_test_wm_ucl_user_v1,False
nzmigration,wms_to_scds_4hr_test_wm_ucl_user_v2,False
nzmigration,wms_to_scds_daily_wm_asn_detail_status_v1,False
nzmigration,wms_to_scds_daily_wm_asn_detail_status_v2,False
nzmigration,wms_to_scds_daily_wm_asn_detail_v1,False
nzmigration,wms_to_scds_daily_wm_asn_detail_v2,False
nzmigration,wms_to_scds_daily_wm_asn_status_v1,False
nzmigration,wms_to_scds_daily_wm_asn_status_v2,False
nzmigration,wms_to_scds_daily_wm_asn_v1,False
nzmigration,wms_to_scds_daily_wm_asn_v2,False
nzmigration,wms_to_scds_daily_wm_business_partner_v1,False
nzmigration,wms_to_scds_daily_wm_business_partner_v2,False
nzmigration,wms_to_scds_daily_wm_c_leader_audit_v1,False
nzmigration,wms_to_scds_daily_wm_c_leader_audit_v2,False
nzmigration,wms_to_scds_daily_wm_c_tms_plan_v1,False
nzmigration,wms_to_scds_daily_wm_c_tms_plan_v2,False
nzmigration,wms_to_scds_daily_wm_carrier_code_v1,False
nzmigration,wms_to_scds_daily_wm_carrier_code_v2,False
nzmigration,wms_to_scds_daily_wm_commodity_code_v1,False
nzmigration,wms_to_scds_daily_wm_commodity_code_v2,False
nzmigration,wms_to_scds_daily_wm_do_status_v1,False
nzmigration,wms_to_scds_daily_wm_do_status_v2,False
nzmigration,wms_to_scds_daily_wm_dock_door_v1,False
nzmigration,wms_to_scds_daily_wm_dock_door_v2,False
nzmigration,wms_to_scds_daily_wm_e_act_elm_crit_v1,False
nzmigration,wms_to_scds_daily_wm_e_act_elm_crit_v2,False
nzmigration,wms_to_scds_daily_wm_e_act_elm_v1,False
nzmigration,wms_to_scds_daily_wm_e_act_elm_v2,False
nzmigration,wms_to_scds_daily_wm_e_act_v1,False
nzmigration,wms_to_scds_daily_wm_e_act_v2,False
nzmigration,wms_to_scds_daily_wm_e_aud_log_v1,False
nzmigration,wms_to_scds_daily_wm_e_aud_log_v2,False
nzmigration,wms_to_scds_daily_wm_e_aud_log_validation_report_on_2023_07_23_02_48_base_only,False
nzmigration,wms_to_scds_daily_wm_e_aud_log_validation_report_on_2023_07_23_02_48_compare_only,False
nzmigration,wms_to_scds_daily_wm_e_aud_log_validation_report_on_2023_07_23_02_48_missmatch_only,False
nzmigration,wms_to_scds_daily_wm_e_aud_log_validation_report_on_2023_07_23_03_38_base_only,False
nzmigration,wms_to_scds_daily_wm_e_aud_log_validation_report_on_2023_07_23_03_38_compare_only,False
nzmigration,wms_to_scds_daily_wm_e_aud_log_validation_report_on_2023_07_23_03_38_missmatch_only,False
nzmigration,wms_to_scds_daily_wm_e_crit_val_v1,False
nzmigration,wms_to_scds_daily_wm_e_crit_val_v2,False
nzmigration,wms_to_scds_daily_wm_e_elm_crit_v1,False
nzmigration,wms_to_scds_daily_wm_e_elm_crit_v2,False
nzmigration,wms_to_scds_daily_wm_e_elm_v1,False
nzmigration,wms_to_scds_daily_wm_e_elm_v2,False
nzmigration,wms_to_scds_daily_wm_e_emp_dtl_v1,False
nzmigration,wms_to_scds_daily_wm_e_emp_dtl_v2,False
nzmigration,wms_to_scds_daily_wm_e_emp_stat_code_v1,False
nzmigration,wms_to_scds_daily_wm_e_emp_stat_code_v2,False
nzmigration,wms_to_scds_daily_wm_e_evnt_smry_hdr_v1,False
nzmigration,wms_to_scds_daily_wm_e_evnt_smry_hdr_v2,False
nzmigration,wms_to_scds_daily_wm_e_job_function_v1,False
nzmigration,wms_to_scds_daily_wm_e_job_function_v2,False
nzmigration,wms_to_scds_daily_wm_e_labor_type_code_v1,False
nzmigration,wms_to_scds_daily_wm_e_labor_type_code_v2,False
nzmigration,wms_to_scds_daily_wm_e_msrmnt_rule_calc_v1,False
nzmigration,wms_to_scds_daily_wm_e_msrmnt_rule_calc_v2,False
nzmigration,wms_to_scds_daily_wm_e_msrmnt_rule_condition_v1,False
nzmigration,wms_to_scds_daily_wm_e_msrmnt_rule_condition_v2,False
nzmigration,wms_to_scds_daily_wm_e_msrmnt_rule_v1,False
nzmigration,wms_to_scds_daily_wm_e_msrmnt_rule_v2,False
nzmigration,wms_to_scds_daily_wm_e_msrmnt_v1,False
nzmigration,wms_to_scds_daily_wm_e_msrmnt_v2,False
nzmigration,wms_to_scds_daily_wm_e_shift_v1,False
nzmigration,wms_to_scds_daily_wm_e_shift_v2,False
nzmigration,wms_to_scds_daily_wm_equipment_instance_v1,False
nzmigration,wms_to_scds_daily_wm_equipment_instance_v2,False
nzmigration,wms_to_scds_daily_wm_equipment_v1,False
nzmigration,wms_to_scds_daily_wm_equipment_v2,False
nzmigration,wms_to_scds_daily_wm_facility_v1,False
nzmigration,wms_to_scds_daily_wm_facility_v2,False
nzmigration,wms_to_scds_daily_wm_ilm_appointment_objects_v1,False
nzmigration,wms_to_scds_daily_wm_ilm_appointment_objects_v2,False
nzmigration,wms_to_scds_daily_wm_ilm_appointment_status_v1,False
nzmigration,wms_to_scds_daily_wm_ilm_appointment_status_v2,False
nzmigration,wms_to_scds_daily_wm_ilm_appointment_type_v1,False
nzmigration,wms_to_scds_daily_wm_ilm_appointment_type_v2,False
nzmigration,wms_to_scds_daily_wm_ilm_appointments_v1,False
nzmigration,wms_to_scds_daily_wm_ilm_appointments_v2,False
nzmigration,wms_to_scds_daily_wm_ilm_appt_equipments_v1,False
nzmigration,wms_to_scds_daily_wm_ilm_appt_equipments_v2,False
nzmigration,wms_to_scds_daily_wm_ilm_task_status_v1,False
nzmigration,wms_to_scds_daily_wm_ilm_task_status_v2,False
nzmigration,wms_to_scds_daily_wm_ilm_yard_activity_v1,False
nzmigration,wms_to_scds_daily_wm_ilm_yard_activity_v2,False
nzmigration,wms_to_scds_daily_wm_item_cbo_v1,False
nzmigration,wms_to_scds_daily_wm_item_cbo_v2,False
nzmigration,wms_to_scds_daily_wm_item_facility_mapping_wms_v1,False
